team_id,team_rank,team_name,team_rating,team_matches,team_points,ranking_lastUpdatedOn,app_seo_title
2,1,India,121,58,7020,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
4,2,Australia,118,45,5309,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
11,3,South Africa,110,37,4062,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
3,4,Pakistan,109,36,3922,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
13,5,New Zealand,102,46,4708,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9,6,England,96,41,3934,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
5,7,Sri Lanka,90,51,4603,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
6,8,Bangladesh,87,47,4095,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
96,9,Afghanistan,82,32,2610,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10,10,West Indies,71,44,3109,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
23,11,Scotland,50,33,1662,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
12,12,Zimbabwe,50,34,1706,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
27,13,Ireland,48,27,1294,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
24,14,Netherlands,41,37,1507,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
72,15,Nepal,36,44,1578,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
161,16,Namibia,29,28,813,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
,17,USA,26,31,808,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
304,18,Oman,22,24,525,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
,19,UAE,15,41,617,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
