match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,currBatTeamId,team1_innings1_inningsId,team1_innings1_runs,team1_innings1_wickets,team1_innings1_overs,team1_innings2_inningsId,team1_innings2_runs,team1_innings2_wickets,team1_innings2_overs,team2_innings1_inningsId,team2_innings1_runs,team2_innings1_wickets,team2_innings1_overs,team2_innings2_inningsId,team2_innings2_runs,team2_innings2_wickets,team2_innings2_overs,responseLastUpdated
International,7511,ACC Mens T20I Challenger Cup 2024,88368,"11th Match, Group B",T20,2024-02-06,2024-02-06,Complete,Singapore won by 34 runs,190,Singapore,SIN,547,Japan,JPN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,190,1,176,5,19.6,,,,,2,142,8,19.6,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88382,5th Place Play-off,T20,2024-02-07,2024-02-07,Complete,Thailand won by 7 wkts,566,Indonesia,IDN,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,384,1,131,8,19.6,,,,,2,132,3,17.2,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89315,4th Match,T20,2024-02-13,2024-02-13,Complete,Maldives won by 9 wkts,555,Bhutan,BTN,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,563,1,115,6,19.6,,,,,2,119,1,14.3,,,,,1970-01-20
International,7553,"Canada tour of Nepal, 2024",89033,2nd ODI,ODI,2024-02-10,2024-02-10,Complete,Nepal won by 4 wkts,26,Canada,CAN,72,Nepal,NEP,458,Tribhuvan University International Cricket Ground,Kirtipur,20700,27.6768145,85.287199,72,1,285,9,49.6,,,,,2,287,6,45.1,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89297,1st Match,T20,2024-02-12,2024-02-12,Complete,Thailand won by 10 wkts,555,Bhutan,BTN,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,384,1,70,10,17.6,,,,,2,72,,6.5,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74730,Elite Group A,TEST,2024-02-09,2024-02-12,Complete,Haryana won by an innings and 205 runs,200,Haryana,HAR,243,Jharkhand,JHKD,49,Keenan Stadium,Jamshedpur,19800,22.805692,86.19144,200,1,509,10,134.5,,,,,2,119,10,39.3,3,185,10,61.4,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74748,Elite Group D,TEST,2024-02-09,2024-02-12,Complete,Uttarakhand won by 162 runs,467,Uttarakhand,UTK,249,Odisha,ODSA,103,Barabati Stadium,Cuttack,19800,20.481065,85.868545,467,1,342,10,131.3,3,203,8,55.6,2,169,10,56.4,4,214,10,91.4,1970-01-20
League,7044,"SA20, 2024",80096,29th Match,T20,2024-02-03,2024-02-03,Complete,Joburg Super Kings won by 7 wkts,1242,Durban Super Giants,DSG,1249,Joburg Super Kings,JSK,88,The Wanderers Stadium,Johannesburg,7200,-26.131141,28.057397,1249,1,203,6,19.6,,,,,2,209,3,19.5,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88403,Semi Final 2,T20,2024-02-09,2024-02-09,Complete,Cambodia won by 6 wkts,190,Singapore,SIN,1447,Cambodia,CBD,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,1447,1,109,10,19.6,,,,,2,113,4,14.5,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88347,"8th Match, Group B",T20,2024-02-04,2024-02-04,Complete,Japan won by 42 runs,547,Japan,JPN,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,547,1,150,8,19.6,,,,,2,108,10,18.4,,,,,1970-01-20
