team_id,team_rank,team_name,team_rating,team_matches,team_points,ranking_lastUpdatedOn,app_seo_title
2,1,India,266,71,18867,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
13,2,New Zealand,256,60,15387,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
9,3,England,256,48,12305,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
4,4,Australia,252,41,10349,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
3,5,Pakistan,249,58,14454,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
11,6,South Africa,249,37,9210,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
10,7,West Indies,244,46,11201,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
5,8,Sri Lanka,234,41,9574,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
6,9,Bangladesh,227,46,10452,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
96,10,Afghanistan,218,37,8069,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
161,11,Namibia,198,28,5539,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
27,12,Ireland,194,47,9117,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
12,13,Zimbabwe,193,53,10222,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
23,14,Scotland,190,18,3412,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
24,15,Netherlands,181,19,3445,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
72,16,Nepal,178,27,4796,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
,17,UAE,174,38,6623,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
304,18,Oman,153,24,3678,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
,19,PNG,144,22,3173,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
26,20,Canada,140,18,2528,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
8,21,Hong Kong,134,28,3740,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
44,22,Uganda,132,65,8602,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
