match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,isTimeAnnounced,responseLastUpdated
League,7422,Bangladesh Premier League 2024,87134,Qualifier 2,T20,2024-02-27,2024-02-27,Upcoming,"Match starts at Feb 27, 12:30 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87120,Eliminator,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 07:30 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89238,Final,T20,2024-02-18,2024-02-18,Upcoming,"Match starts at Feb 18, 01:30 GMT",106,TBC,TBC,106,TBC,TBC,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79536,28th Match,ODI,2024-02-17,2024-02-18,Upcoming,"Match starts at Feb 18, 22:00 GMT",105,Otago,OTG,314,Wellington,WEL,82,John Davies Oval,Queenstown,46800,-45.016205,168.738638,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87141,Final,T20,2024-03-01,2024-03-01,Upcoming,"Match starts at Mar 01, 13:00 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
Domestic,6990,Sheffield Shield 2023-24,79286,26th Match,TEST,2024-02-29,2024-03-04,Upcoming,"Match starts at Mar 01, 23:30 GMT",166,Tasmania,TAS,52,Victoria,VIC,39,Bellerive Oval,Hobart,39600,-42.877296,147.374013,true,1970-01-20
Domestic,7023,Plunket Shield 2023-24,79804,15th Match,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 29, 21:30 GMT",105,Otago,OTG,186,Auckland,AKL,116,University Oval,Dunedin,46800,-45.874401,170.505005,true,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79230,Final,ODI,2024-02-24,2024-02-25,Upcoming,"Match starts at Feb 25, 00:00 GMT",104,New South Wales,NSW,87,Western Australia,WA,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83071,Final,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 28, 08:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82584,Final,TEST,2024-02-24,2024-02-28,Upcoming,"Match starts at Feb 24, 08:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79550,Qualifier 2 v 3,ODI,2024-02-20,2024-02-21,Upcoming,"Match starts at Feb 21, 22:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74867,1st Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74881,4th Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74877,3rd Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74895,2nd Semi Final,TEST,2024-03-02,2024-03-06,Upcoming,"Match starts at Mar 02, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
